Brand,Price,Processor_Brand,RAM_Expandable,RAM_Size (GB),RAM_TYPE,Processer_speed,Display_type,GPU_Brand,SSD(GB),HDD(GB),Processor_Series,Processor_Tier,Display_Category,GPU_Tier
Lenovo,127011.5,AMD,Yes,8,DDR4,4.0,LCD,AMD,512,0,AMD Ryzen 5,Mid-End,Medium,Low-end
Dell,274750.0,Intel,Yes,16,DDR5,3.3,LCD,NVIDIA,512,0,Intel Core I5,Mid-End,Medium,Mid-end
HP,194215.0,Intel,Yes,8,DDR4,4.2,LCD,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
Other,76965.0,Intel,No,8,DDR4,1.7,LCD,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
HP,173596.5,AMD,Yes,8,DDR4,4.0,LCD,AMD,512,0,AMD Ryzen 5,Mid-End,Small,Low-end
Acer,139965.0,Intel,Yes,8,DDR4,2.5,LCD,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
Lenovo,115888.5,Intel,Yes,4,DDR4,2.2,LED,Intel,0,1024,Intel Core I3,Low-End,Medium,Entry-level
ASUS,171465.0,Intel,No,8,DDR4,2.9,LCD,NVIDIA,512,0,Intel Core I5,Mid-End,Medium,Mid-end
Lenovo,325465.0,AMD,Yes,16,DDR5,3.4,LCD,NVIDIA,512,0,AMD Ryzen 7,Upper Mid-End,Medium,High-end
HP,110215.0,AMD,No,8,DDR4,2.6,LCD,AMD,512,0,AMD Ryzen 3,Low-End,Medium,Low-end
HP,157496.5,Intel,Yes,8,DDR4,1.7,LCD,Intel,512,0,Intel Core I3,Low-End,Small,Entry-level
Dell,184800.0,Intel,Yes,8,DDR4,3.3,LCD,Intel,512,0,Intel Core I5,Mid-End,Small,Entry-level
ASUS,129465.0,Intel,Yes,8,DDR4,3.0,LCD,Intel,512,0,Intel Core I3,Low-End,Small,Entry-level
Other,167996.5,Intel,Yes,16,DDR4,4.7,LCD,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
Lenovo,174650.0,Intel,Yes,8,DDR4,3.1,LCD,NVIDIA,512,0,Intel Core I5,Mid-End,Medium,Mid-end
HP,244996.5,Intel,Yes,16,DDR4,4.2,LCD,Intel,1024,0,Intel Core I5,Mid-End,Small,Entry-level
Acer,129465.0,Intel,Yes,8,DDR4,3.3,LCD,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
Lenovo,118650.0,Intel,Yes,8,DDR4,4.0,LCD,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
HP,213465.0,AMD,No,16,DDR4,4.2,LCD,AMD,512,0,AMD Ryzen 7,Upper Mid-End,Small,Low-end
Lenovo,143465.0,Intel,Yes,16,DDR4,2.5,LCD,Intel,512,0,Intel Core I5,Mid-End,Medium,Entry-level
Other,110215.0,Intel,Yes,8,DDR4,3.0,LED,Intel,256,0,Intel Core I3,Low-End,Medium,Entry-level
Lenovo,283465.0,Intel,Yes,16,DDR5,4.2,LED,Intel,1024,0,Intel Core Ultra 5,Mid-End,Small,Low-end
Lenovo,178465.0,Intel,No,8,DDR4,2.5,LCD,NVIDIA,512,0,Intel Core I5,Mid-End,Medium,Mid-end
ASUS,202965.0,Intel,Yes,8,DDR4,2.7,LCD,NVIDIA,512,0,Intel Core I5,Mid-End,Large,Mid-end
HP,89071.5,Intel,No,8,DDR4,2.8,LCD,Intel,256,0,Intel Celeron,Low-End,Small,Entry-level
HP,129465.0,AMD,No,8,DDR5,2.4,LCD,AMD,512,0,AMD Ryzen 3,Low-End,Medium,Low-end
Acer,171465.0,AMD,Yes,8,DDR4,2.1,LCD,NVIDIA,512,0,AMD Ryzen 5,Mid-End,Medium,Mid-end
ASUS,167965.0,Intel,No,16,DDR4,2.4,LED,Intel,256,1024,Intel Core I5,Mid-End,Medium,Entry-level
Acer,101465.0,AMD,Yes,8,DDR4,2.6,LCD,AMD,256,0,AMD Ryzen 3,Low-End,Small,Low-end
HP,94465.0,AMD,No,8,DDR4,2.6,LCD,AMD,512,0,AMD Ryzen 3,Low-End,Small,Low-end
Dell,137375.0,Intel,Yes,8,DDR4,3.0,LCD,Intel,512,0,Intel Core I3,Low-End,Medium,Entry-level
HP,97562.5,Intel,No,8,DDR4,2.8,LED,Intel,256,0,Intel Celeron,Low-End,Small,Entry-level
ASUS,87496.5,Intel,Yes,4,DDR4,2.8,LCD,Intel,128,0,Intel Celeron,Low-End,Small,Entry-level
MSI,199465.0,Intel,No,8,DDR4,2.7,LCD,NVIDIA,512,0,Intel Core I5,Mid-End,Medium,Mid-end
ASUS,179060.0,Intel,Yes,8,DDR4,2.5,LED,NVIDIA,512,0,Intel Core I5,Mid-End,Medium,Mid-end
