Brand,Price,Processor_Brand,RAM_Expandable,RAM_Capacity,RAM_TYPE(DDR),Display_type,GPU_Brand,Operating_System,Processor_Tier,Processor_Speed(Ghz),Display_Tier,GPU_Tier,SSD(GB),HDD(GB)
5,127011.5,0,1,8,3,0,0,4,1.0,4.0,1,1,512,0
3,274750.0,2,1,16,5,0,3,4,1.0,3.5,1,3,512,0
4,194215.0,2,1,8,3,0,2,4,1.0,4.0,1,2,512,0
7,76965.0,2,0,8,4,0,2,4,0.0,1.5,1,1,512,0
1,122465.0,2,1,16,3,0,2,4,1.0,2.5,1,2,512,0
4,173596.5,0,1,8,3,0,0,4,1.0,4.0,1,1,512,0
1,139965.0,2,1,8,3,0,2,4,1.0,2.5,1,2,512,0
5,115888.5,2,1,4,3,1,2,1,0.0,2.0,1,1,0,1024
0,171465.0,2,0,8,3,0,3,4,1.0,3.0,1,3,512,0
5,325465.0,0,1,16,5,0,3,4,2.0,3.5,1,3,512,0
4,110215.0,0,0,8,3,0,0,4,0.0,2.5,1,1,512,0
1,367465.0,2,1,16,5,0,3,4,2.0,3.0,2,3,1024,0
4,157496.5,2,1,8,3,0,2,4,0.0,1.5,1,1,512,0
1,395430.0,2,1,16,5,0,3,4,2.0,3.0,2,3,1024,0
3,184800.0,2,1,8,3,0,2,4,1.0,3.5,1,2,512,0
0,129465.0,2,1,8,3,0,2,4,0.0,3.0,1,1,512,0
7,167996.5,2,1,16,3,0,2,4,1.0,4.5,1,2,512,0
1,272510.0,2,1,16,5,0,3,4,1.0,2.5,1,3,512,0
5,174650.0,2,1,8,3,0,3,4,1.0,3.0,1,3,512,0
4,244996.5,2,1,16,3,0,2,4,1.0,4.0,1,2,1024,0
1,129465.0,2,1,8,3,0,2,4,1.0,3.5,1,2,512,0
5,118650.0,2,1,8,3,0,2,4,0.0,4.0,1,1,512,0
4,213465.0,0,0,16,3,0,0,4,2.0,4.0,1,1,512,0
5,143465.0,2,1,16,3,0,2,4,1.0,2.5,1,2,512,0
7,110215.0,2,1,8,3,1,2,3,0.0,3.0,1,1,256,0
5,283465.0,2,1,16,6,1,2,4,1.0,4.0,1,2,1024,0
5,178465.0,2,0,8,3,0,3,4,1.0,2.5,1,3,512,0
0,202965.0,2,1,8,3,0,3,4,1.0,2.5,2,3,512,0
4,89071.5,2,0,8,3,0,2,4,0.0,3.0,1,1,256,0
4,129465.0,0,0,8,6,0,0,4,0.0,2.5,1,1,512,0
1,171465.0,0,1,8,3,0,3,4,1.0,2.0,1,3,512,0
0,167965.0,2,0,16,3,1,2,3,1.0,2.5,1,2,256,1024
1,101465.0,0,1,8,3,0,0,4,0.0,2.5,1,1,256,0
4,94465.0,0,0,8,3,0,0,4,0.0,2.5,1,1,512,0
3,137375.0,2,1,8,3,0,2,4,0.0,3.0,1,1,512,0
4,97562.5,2,0,8,3,1,2,3,0.0,3.0,1,1,256,0
0,87496.5,2,1,4,3,0,2,4,0.0,3.0,1,1,128,0
6,199465.0,2,0,8,3,0,3,3,1.0,2.5,1,3,512,0
0,179060.0,2,1,8,3,1,3,3,1.0,2.5,1,3,512,0
1,123196.5,2,0,8,6,0,2,4,0.0,3.5,1,1,512,0
1,115465.0,2,1,8,3,0,2,4,0.0,1.5,1,1,512,0
1,83996.5,2,1,4,3,1,2,3,0.0,2.5,1,1,256,0
0,227465.0,2,0,16,3,0,2,4,1.0,2.5,1,2,512,0
5,255465.0,0,1,16,3,0,3,4,2.0,3.5,1,3,512,0
0,594965.0,2,0,32,6,1,2,4,3.0,2.5,1,2,1024,0
4,174996.5,2,0,8,3,1,2,4,0.0,2.0,1,1,512,0
4,192465.0,2,1,16,3,1,2,4,1.0,4.0,1,2,512,0
0,339465.0,0,1,16,5,0,3,4,2.0,4.5,1,3,1024,0
0,129496.5,2,0,8,3,0,2,4,0.0,4.0,1,1,512,0
3,313250.0,0,0,16,5,0,3,4,1.0,3.5,1,3,512,0
8,255465.0,2,0,16,6,1,2,4,1.0,4.0,1,2,512,0
5,122465.0,2,0,8,3,1,2,4,0.0,2.0,1,1,256,0
1,454965.0,2,1,16,3,0,3,4,3.0,5.0,1,3,1024,0
6,230996.5,2,0,8,3,1,3,3,2.0,2.5,1,3,256,1024
3,269150.0,2,1,8,3,1,2,3,1.0,2.5,1,2,512,0
0,178465.0,2,1,8,3,0,3,4,1.0,2.5,1,3,512,0
0,496965.0,0,1,16,5,0,3,4,2.0,3.5,1,3,512,0
0,209996.5,0,1,8,3,0,0,4,0.0,3.5,1,1,256,0
0,115465.0,2,1,8,3,1,2,4,0.0,1.0,1,1,512,0
7,174965.0,2,0,16,6,0,2,4,2.0,5.0,1,2,512,0
5,187372.5,2,0,8,3,1,3,3,1.0,2.5,1,3,512,0
4,132965.0,0,1,8,3,0,0,4,0.0,2.5,1,1,512,0
4,101465.0,2,0,8,3,0,2,4,0.0,3.0,1,1,256,0
0,146965.0,0,0,8,3,0,0,4,0.0,2.5,1,2,512,0
1,194250.0,2,1,16,3,1,3,4,1.0,3.5,1,3,512,0
0,209300.0,2,0,8,3,1,2,4,0.0,3.5,1,1,512,0
3,148396.5,2,0,8,3,0,2,4,0.0,2.0,1,1,256,1024
5,199496.5,2,0,8,3,1,2,4,0.0,3.0,1,1,512,0
1,110215.0,2,0,8,6,0,2,4,0.0,2.0,1,1,256,0
