Brand,Price,Processor_Brand,RAM_Expandable,RAM_Size (GB),RAM_TYPE(DDR),Ghz,Display_type,GPU_Brand,SSD,HDD(GB),Display_Tier,GPU_Tier,Processor_Category,Processor_Speed(Ghz),SSD(GB)
Lenovo,127011.5,AMD,Yes,8,4,4.0,LCD,AMD,512 GB SSD,0,Large,Entry-level,Mid-End,4.0,512
Dell,274750.0,Intel,Yes,16,5,3.3,LCD,NVIDIA,512 GB SSD,0,Large,Mid-end,Other,3.5,512
Hp,194215.0,Intel,Yes,8,4,4.2,LCD,Intel,512 GB SSD,0,Large,Low-end,Other,4.0,512
Other,76965.0,Intel,No,8,4,1.7,LCD,Intel,512 GB SSD,0,Large,Entry-level,Other,1.5,512
Acer,122465.0,Intel,Yes,16,4,2.7385892116182573,LCD,Intel,512 GB SSD,0,Small,Low-end,Other,2.5,512
Hp,173596.5,AMD,Yes,8,4,4.0,LCD,AMD,512 GB SSD,0,Small,Entry-level,Mid-End,4.0,512
Acer,139965.0,Intel,Yes,8,4,2.5,LCD,Intel,512 GB SSD,0,Small,Low-end,Other,2.5,512
Lenovo,115888.5,Intel,Yes,4,4,2.2,LED,Intel,No SSD,1024,Large,Entry-level,Other,2.0,0
Asus,171465.0,Intel,No,8,4,2.9,LCD,NVIDIA,512 GB SSD,0,Large,Mid-end,Other,3.0,512
Lenovo,325465.0,AMD,Yes,16,5,3.4,LCD,NVIDIA,512 GB SSD,0,Large,Mid-end,High-End,3.5,512
Hp,110215.0,AMD,No,8,4,2.6,LCD,AMD,512 GB SSD,0,Large,Entry-level,Low-End,2.5,512
Acer,367465.0,Intel,Yes,16,5,2.7385892116182573,LCD,NVIDIA,1024 GB SSD,0,Large,Mid-end,Other,2.5,1024
Hp,157496.5,Intel,Yes,8,4,1.7,LCD,Intel,512 GB SSD,0,Small,Entry-level,Other,1.5,512
Acer,395430.0,Intel,Yes,16,5,2.7385892116182573,LCD,NVIDIA,1024 GB SSD,0,Large,Mid-end,Other,2.5,1024
Dell,184800.0,Intel,Yes,8,4,3.3,LCD,Intel,512 GB SSD,0,Small,Low-end,Other,3.5,512
Asus,129465.0,Intel,Yes,8,4,3.0,LCD,Intel,512 GB SSD,0,Small,Entry-level,Other,3.0,512
Other,167996.5,Intel,Yes,16,4,4.7,LCD,Intel,512 GB SSD,0,Large,Low-end,Other,4.5,512
Acer,272510.0,Intel,Yes,16,5,2.7385892116182573,LCD,NVIDIA,512 GB SSD,0,Large,Mid-end,Other,2.5,512
Lenovo,174650.0,Intel,Yes,8,4,3.1,LCD,NVIDIA,512 GB SSD,0,Large,Mid-end,Other,3.0,512
Hp,244996.5,Intel,Yes,16,4,4.2,LCD,Intel,1024 GB SSD,0,Small,Low-end,Other,4.0,1024
Acer,129465.0,Intel,Yes,8,4,3.3,LCD,Intel,512 GB SSD,0,Large,Low-end,Other,3.5,512
Lenovo,118650.0,Intel,Yes,8,4,4.0,LCD,Intel,512 GB SSD,0,Large,Entry-level,Other,4.0,512
Hp,213465.0,AMD,No,16,4,4.2,LCD,AMD,512 GB SSD,0,Small,Entry-level,High-End,4.0,512
Lenovo,143465.0,Intel,Yes,16,4,2.5,LCD,Intel,512 GB SSD,0,Large,Low-end,Other,2.5,512
Other,110215.0,Intel,Yes,8,4,3.0,LED,Intel,256 GB SSD,0,Large,Entry-level,Other,3.0,256
Lenovo,283465.0,Intel,Yes,16,5,4.2,LED,Intel,1024 GB SSD,0,Small,Low-end,Other,4.0,1024
Lenovo,178465.0,Intel,No,8,4,2.5,LCD,NVIDIA,512 GB SSD,0,Large,Mid-end,Other,2.5,512
Asus,202965.0,Intel,Yes,8,4,2.7,LCD,NVIDIA,512 GB SSD,0,Large,Mid-end,Other,2.5,512
Hp,89071.5,Intel,No,8,4,2.8,LCD,Intel,256 GB SSD,0,Small,Entry-level,Low-End,3.0,256
Hp,129465.0,AMD,No,8,5,2.4,LCD,AMD,512 GB SSD,0,Large,Entry-level,Low-End,2.5,512
Acer,171465.0,AMD,Yes,8,4,2.1,LCD,NVIDIA,512 GB SSD,0,Large,Mid-end,Mid-End,2.0,512
Asus,167965.0,Intel,No,16,4,2.4,LED,Intel,256 GB SSD,1024,Large,Low-end,Other,2.5,256
Acer,101465.0,AMD,Yes,8,4,2.6,LCD,AMD,256 GB SSD,0,Small,Entry-level,Low-End,2.5,256
