Brand,Price,Processor_Brand,RAM_Expandable,RAM_Capacity,RAM_TYPE(DDR),Display_type,GPU_Brand,HDD(GB),Processor_Category,Display_Tier,GPU_Tier,Processor_Speed(Ghz),SSD(GB)
Lenovo,127011.5,AMD,Yes,8,4,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,4.0,512
Dell,274750.0,Intel,Yes,16,5,LCD,NVIDIA,0,Intel I5,Small,Mid-end,3.5,512
HP,194215.0,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Low-end,4.0,512
Other,76965.0,Intel,No,8,LP4,LCD,Intel,0,Intel I3,Small,Entry-level,1.5,512
Acer,122465.0,Intel,Yes,16,4,LCD,Intel,0,Intel I5,Small,Low-end,2.5,512
HP,173596.5,AMD,Yes,8,4,LCD,AMD,0,AMD Ryzen 5,Small,Entry-level,4.0,512
Acer,139965.0,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Low-end,2.5,512
Lenovo,115888.5,Intel,Yes,4,4,LED,Intel,1024,Intel I3,Small,Entry-level,2.0,0
ASUS,171465.0,Intel,No,8,4,LCD,NVIDIA,0,Intel I5,Small,Mid-end,3.0,512
Lenovo,325465.0,AMD,Yes,16,5,LCD,NVIDIA,0,AMD Ryzen 7,Small,Mid-end,3.5,512
HP,110215.0,AMD,No,8,4,LCD,AMD,0,AMD Ryzen 3,Small,Entry-level,2.5,512
Acer,367465.0,Intel,Yes,16,5,LCD,NVIDIA,0,Intel I7,Large,Mid-end,3.0,1024
HP,157496.5,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,1.5,512
Acer,395430.0,Intel,Yes,16,5,LCD,NVIDIA,0,Intel I7,Large,Mid-end,3.0,1024
Dell,184800.0,Intel,Yes,8,4,LCD,Intel,0,Intel I5,Small,Low-end,3.5,512
ASUS,129465.0,Intel,Yes,8,4,LCD,Intel,0,Intel I3,Small,Entry-level,3.0,512
Other,167996.5,Intel,Yes,16,4,LCD,Intel,0,Intel I5,Small,Low-end,4.5,512
Acer,272510.0,Intel,Yes,16,5,LCD,NVIDIA,0,Intel I5,Small,Mid-end,2.5,512
